county,state_code,state,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
Johnson County,IN,Indiana,8.15,38.0,33.0,8,3,9,42266.0,58.4,1.0,Medium
Johnson County,KS,Kansas,9.36,37.0,11.0,7,5,9,145781.0,75.2,2.0,High
Johnson County,MO,Missouri,7.75,39.0,39.0,5,9,4,12165.0,41.8,4.0,Unknown
Johnson County,NE,Nebraska,9.01,37.0,14.0,3,10,7,870.0,54.6,1.0,Medium
Johnson County,TN,Tennessee,5.74,39.0,49.0,9,2,4,5166.0,37.2,1.0,Medium
Johnson County,TX,Texas,8.19,35.0,30.0,3,4,10,43299.0,46.0,1.0,Medium
Johnston County,NC,North Carolina,8.07,39.0,34.0,7,7,7,59431.0,54.0,2.0,High
Johnston County,OK,Oklahoma,7.13,37.0,44.0,8,6,8,3031.0,42.4,1.0,Medium
Jones County,GA,Georgia,7.91,37.0,35.0,2,8,10,5051.0,43.8,0.0,Low
Jones County,MS,Mississippi,8.99,38.0,15.0,3,4,8,21178.0,43.4,1.0,Medium
Jones County,TX,Texas,8.19,35.0,30.0,7,3,8,4589.0,44.3,1.0,Medium
Josephine County,OR,Oregon,8.29,39.0,27.0,3,10,9,16365.0,50.0,1.0,Medium
Juab County,UT,Utah,8.29,31.0,27.0,4,2,7,2888.0,36.7,1.0,Medium
Juneau County,WI,Wisconsin,8.89,40.0,17.0,6,7,2,7690.0,53.5,2.0,High
Juniata County,PA,Pennsylvania,8.46,41.0,23.0,10,6,1,4767.0,40.0,1.0,Medium
Kalamazoo County,MI,Michigan,8.34,40.0,24.0,5,8,6,59282.0,61.4,2.0,High
Kanabec County,MN,Minnesota,9.99,38.0,6.0,3,2,2,3501.0,42.9,3.0,Critical
Kandiyohi County,MN,Minnesota,9.99,38.0,6.0,8,5,9,13413.0,54.1,1.0,Medium
Kane County,IL,Illinois,9.52,38.0,9.0,1,4,8,126748.0,67.2,2.0,High
Kane County,UT,Utah,8.29,31.0,27.0,6,9,7,1331.0,50.0,1.0,Medium
Kankakee County,IL,Illinois,9.52,38.0,9.0,4,5,2,28885.0,52.300000000000004,1.0,Medium
Karnes County,TX,Texas,8.19,35.0,30.0,7,2,2,5585.0,57.599999999999994,3.0,Critical
Kauai County,HI,Hawaii,12.19,39.0,2.0,7,3,4,11961.0,71.5,2.0,High
Kaufman County,TX,Texas,8.19,35.0,30.0,8,10,2,35400.0,52.2,1.0,Medium
Kay County,OK,Oklahoma,7.13,37.0,44.0,10,5,4,12277.0,42.8,1.0,Medium
Kemper County,MS,Mississippi,8.99,38.0,15.0,7,5,7,2179.0,46.1,2.0,High
Kenai Peninsula Borough,AK,Alaska,5.1,34.0,50.0,6,1,4,17636.0,48.199999999999996,2.0,High
Kendall County,IL,Illinois,9.52,38.0,9.0,2,9,1,31139.0,68.7,2.0,High
Kendall County,TX,Texas,8.19,35.0,30.0,2,8,5,8186.0,61.9,1.0,Medium
Kennebec County,ME,Maine,10.5,45.0,4.0,1,1,5,23269.0,68.0,2.0,High
Kenosha County,WI,Wisconsin,8.89,40.0,17.0,10,10,6,44219.0,60.3,2.0,High
Kent County,DE,Delaware,6.21,41.0,47.0,7,10,4,50413.0,55.900000000000006,2.0,High
Kent County,MD,Maryland,9.32,39.0,12.0,1,10,3,3052.0,65.3,1.0,Medium
Kent County,MI,Michigan,8.34,40.0,24.0,8,10,4,166659.0,61.3,1.0,Medium
Kent County,RI,Rhode Island,9.69,40.0,8.0,4,4,2,48865.0,78.3,3.0,Critical
Kenton County,KY,Kentucky,8.58,39.0,22.0,1,7,4,45597.0,60.4,1.0,Medium
Kern County,CA,California,9.48,37.0,10.0,9,3,7,242888.0,53.400000000000006,1.0,Medium
Kerr County,TX,Texas,8.19,35.0,30.0,7,1,3,9507.0,50.6,1.0,Medium
Kewaunee County,WI,Wisconsin,8.89,40.0,17.0,9,1,7,5838.0,52.2,2.0,High
Kimble County,TX,Texas,8.19,35.0,30.0,3,1,4,688.0,43.0,1.0,Medium
King & Queen County,VA,Virginia,7.86,38.0,37.0,8,1,8,,,,
King County,WA,Washington,8.34,38.0,24.0,7,6,8,384353.0,80.9,3.0,Critical
King George County,VA,Virginia,7.86,38.0,37.0,10,5,8,5011.0,64.2,2.0,High
King William County,VA,Virginia,7.86,38.0,37.0,4,2,7,3695.0,58.4,2.0,High
Kingfisher County,OK,Oklahoma,7.13,37.0,44.0,9,8,9,4165.0,47.599999999999994,1.0,Medium
Kings County,NY,New York,12.79,39.0,1.0,1,3,10,697453.0,71.8,2.0,High
Kinney County,TX,Texas,8.19,35.0,30.0,3,6,5,721.0,52.1,1.0,Medium
Kiowa County,OK,Oklahoma,7.13,37.0,44.0,4,2,3,1957.0,51.1,1.0,Medium
Kit Carson County,CO,Colorado,8.31,37.0,26.0,7,1,7,1608.0,38.800000000000004,2.0,High
Kitsap County,WA,Washington,8.34,38.0,24.0,8,6,3,39540.0,69.89999999999999,2.0,High
Kittitas County,WA,Washington,8.34,38.0,24.0,6,6,9,8436.0,53.900000000000006,2.0,High
Kittson County,MN,Minnesota,9.99,38.0,6.0,1,7,1,1039.0,59.4,1.0,Medium
Klamath County,OR,Oregon,8.29,39.0,27.0,5,2,4,14139.0,50.6,1.0,Medium
Kleberg County,TX,Texas,8.19,35.0,30.0,7,3,3,7207.0,60.6,1.0,Medium
Klickitat County,WA,Washington,8.34,38.0,24.0,8,1,10,3507.0,47.5,1.0,Medium
Knox County,KY,Kentucky,8.58,39.0,22.0,3,3,10,11495.0,36.5,1.0,Medium
Knox County,ME,Maine,10.5,45.0,4.0,5,6,3,6021.0,79.2,2.0,High
Knox County,OH,Ohio,8.96,39.0,16.0,6,7,10,13172.0,43.0,1.0,Medium
Knox County,TN,Tennessee,5.74,39.0,49.0,3,5,10,127860.0,60.099999999999994,1.0,Medium
Knox County,TX,Texas,8.19,35.0,30.0,9,4,9,491.0,39.5,0.0,Low
Kodiak Island Borough,AK,Alaska,5.1,34.0,50.0,9,5,10,4952.0,65.0,2.0,High
Koochiching County,MN,Minnesota,9.99,38.0,6.0,7,3,8,2712.0,58.699999999999996,1.0,Medium
Kootenai County,ID,Idaho,7.88,36.0,36.0,9,10,5,41946.0,46.2,1.0,Medium
La Crosse County,WI,Wisconsin,8.89,40.0,17.0,10,10,2,34851.0,68.89999999999999,2.0,High
La Salle County,TX,Texas,8.19,35.0,30.0,3,5,8,2350.0,64.7,1.0,Medium
LaSalle County,IL,Illinois,9.52,38.0,9.0,2,7,9,29012.0,58.199999999999996,2.0,High
Lac qui Parle County,MN,Minnesota,9.99,38.0,6.0,2,6,10,1740.0,58.599999999999994,1.0,Medium
Lackawanna County,PA,Pennsylvania,8.46,41.0,23.0,7,2,8,43699.0,68.60000000000001,2.0,High
Laclede County,MO,Missouri,7.75,39.0,39.0,7,4,10,8102.0,37.4,4.0,Unknown
Lafayette County,AR,Arkansas,8.8,38.0,20.0,5,4,2,1296.0,41.8,0.0,Low
Lafayette County,MO,Missouri,7.75,39.0,39.0,8,4,4,7793.0,45.6,4.0,Unknown
Lafayette County,MS,Mississippi,8.99,38.0,15.0,1,2,4,15273.0,54.900000000000006,1.0,Medium
Lafayette County,WI,Wisconsin,8.89,40.0,17.0,6,7,10,3658.0,60.3,3.0,Critical
Lake County,CA,California,9.48,37.0,10.0,10,3,6,11605.0,54.800000000000004,1.0,Medium
Lake County,CO,Colorado,8.31,37.0,26.0,7,8,8,1795.0,59.699999999999996,1.0,Medium
Lake County,FL,Florida,6.97,42.0,45.0,2,6,7,84888.0,65.8,1.0,Medium
Lake County,IL,Illinois,9.52,38.0,9.0,4,10,8,150844.0,78.10000000000001,2.0,High
Lake County,MI,Michigan,8.34,40.0,24.0,2,9,8,1841.0,64.0,1.0,Medium
Lake County,OH,Ohio,8.96,39.0,16.0,2,2,5,49028.0,65.4,2.0,High
Lake of the Woods County,MN,Minnesota,9.99,38.0,6.0,2,8,7,765.0,55.300000000000004,1.0,Medium
Lamar County,GA,Georgia,7.91,37.0,35.0,8,1,4,4845.0,34.8,1.0,Medium
Lamar County,MS,Mississippi,8.99,38.0,15.0,7,2,3,17362.0,59.4,2.0,High
Lamar County,TX,Texas,8.19,35.0,30.0,3,6,10,12484.0,39.800000000000004,0.0,Low
Lamoille County,VT,Vermont,10.75,43.0,3.0,5,10,8,3894.0,81.6,2.0,High
Lampasas County,TX,Texas,8.19,35.0,30.0,3,4,6,5528.0,49.3,2.0,High
Lancaster County,NE,Nebraska,9.01,37.0,14.0,3,8,10,78114.0,66.7,4.0,Unknown
Lancaster County,PA,Pennsylvania,8.46,41.0,23.0,4,1,10,121145.0,57.199999999999996,2.0,High
Lancaster County,SC,South Carolina,7.45,39.0,40.0,3,4,6,25060.0,45.7,1.0,Medium
Lancaster County,VA,Virginia,7.86,38.0,37.0,3,1,1,1805.0,71.3,2.0,High
Lander County,NV,Nevada,8.23,38.0,29.0,3,2,8,1178.0,40.400000000000006,1.0,Medium
Lane County,OR,Oregon,8.29,39.0,27.0,7,4,10,57555.0,67.4,1.0,Medium
Langlade County,WI,Wisconsin,8.89,40.0,17.0,6,6,3,5202.0,53.900000000000006,2.0,High
Lanier County,GA,Georgia,7.91,37.0,35.0,7,9,1,2267.0,27.0,1.0,Medium
Lapeer County,MI,Michigan,8.34,40.0,24.0,6,7,4,20811.0,47.4,1.0,Medium
Larimer County,CO,Colorado,8.31,37.0,26.0,2,9,10,77879.0,67.9,3.0,Critical
Latah County,ID,Idaho,7.88,36.0,36.0,3,9,3,6701.0,58.599999999999994,2.0,High
Latimer County,OK,Oklahoma,7.13,37.0,44.0,9,1,3,2268.0,34.4,0.0,Low
Lauderdale County,MS,Mississippi,8.99,38.0,15.0,8,8,10,18801.0,51.300000000000004,2.0,High
Lauderdale County,TN,Tennessee,5.74,39.0,49.0,1,6,1,7742.0,37.6,1.0,Medium
Laurel County,KY,Kentucky,8.58,39.0,22.0,7,7,1,20079.0,40.5,5.0,Extreme
Laurens County,GA,Georgia,7.91,37.0,35.0,1,5,3,13765.0,46.5,0.0,Low
Laurens County,SC,South Carolina,7.45,39.0,40.0,10,2,4,18609.0,38.5,1.0,Medium
Lavaca County,TX,Texas,8.19,35.0,30.0,10,2,8,3992.0,41.4,1.0,Medium
Lawrence County,AL,Alabama,7.45,39.0,40.0,1,7,7,7652.0,47.099999999999994,1.0,Medium
Lawrence County,AR,Arkansas,8.8,38.0,20.0,9,6,9,5295.0,46.800000000000004,1.0,Medium
Lawrence County,MS,Mississippi,8.99,38.0,15.0,1,3,5,3585.0,55.400000000000006,1.0,Medium
Lawrence County,OH,Ohio,8.96,39.0,16.0,10,1,6,17867.0,49.4,1.0,Medium
Lawrence County,PA,Pennsylvania,8.46,41.0,23.0,6,1,2,18954.0,50.9,1.0,Medium
Lawrence County,TN,Tennessee,5.74,39.0,49.0,8,6,6,14278.0,36.7,2.0,High
Le Flore County,OK,Oklahoma,7.13,37.0,44.0,3,7,9,12482.0,39.0,2.0,High
Le Sueur County,MN,Minnesota,9.99,38.0,6.0,9,10,1,6481.0,49.2,1.0,Medium
Leake County,MS,Mississippi,8.99,38.0,15.0,1,10,8,6403.0,48.5,2.0,High
Leavenworth County,KS,Kansas,9.36,37.0,11.0,3,4,8,19364.0,58.599999999999994,2.0,High
Lebanon County,PA,Pennsylvania,8.46,41.0,23.0,7,1,1,36594.0,52.2,1.0,Medium
Lee County,AR,Arkansas,8.8,38.0,20.0,4,4,3,2907.0,33.800000000000004,1.0,Medium
Lee County,FL,Florida,6.97,42.0,45.0,10,9,5,189184.0,61.8,3.0,Critical
Lee County,GA,Georgia,7.91,37.0,35.0,3,1,3,7357.0,46.1,3.0,Critical
Lee County,IL,Illinois,9.52,38.0,9.0,8,1,10,8785.0,59.699999999999996,1.0,Medium
Lee County,KY,Kentucky,8.58,39.0,22.0,5,2,7,2940.0,49.8,2.0,High
Lee County,MS,Mississippi,8.99,38.0,15.0,3,3,2,26666.0,43.5,1.0,Medium
Lee County,NC,North Carolina,8.07,39.0,34.0,2,2,3,15921.0,55.00000000000001,1.0,Medium
Lee County,SC,South Carolina,7.45,39.0,40.0,5,8,1,4251.0,47.8,1.0,Medium
Lee County,TX,Texas,8.19,35.0,30.0,4,9,10,4245.0,47.199999999999996,1.0,Medium
Leflore County,MS,Mississippi,8.99,38.0,15.0,10,1,7,7307.0,62.1,1.0,Medium
Lehigh County,PA,Pennsylvania,8.46,41.0,23.0,3,10,7,89688.0,70.39999999999999,2.0,High
Lenawee County,MI,Michigan,8.34,40.0,24.0,1,9,7,25980.0,52.900000000000006,1.0,Medium
Leon County,FL,Florida,6.97,42.0,45.0,2,10,9,84848.0,56.599999999999994,1.0,Medium
Leon County,TX,Texas,8.19,35.0,30.0,3,5,3,3718.0,35.9,1.0,Medium
Levy County,FL,Florida,6.97,42.0,45.0,3,5,2,10239.0,47.099999999999994,0.0,Low
Lewis County,ID,Idaho,7.88,36.0,36.0,2,10,4,1134.0,52.300000000000004,3.0,Critical
Lewis County,KY,Kentucky,8.58,39.0,22.0,1,10,3,4515.0,39.1,1.0,Medium
Lewis County,NY,New York,12.79,39.0,1.0,5,8,9,6196.0,52.1,2.0,High
Lewis County,TN,Tennessee,5.74,39.0,49.0,6,8,9,3570.0,35.6,1.0,Medium
Lewis County,WA,Washington,8.34,38.0,24.0,9,3,6,17531.0,51.300000000000004,1.0,Medium
Liberty County,FL,Florida,6.97,42.0,45.0,2,9,9,2496.0,34.2,1.0,Medium
Liberty County,GA,Georgia,7.91,37.0,35.0,8,9,9,12339.0,61.7,1.0,Medium
Liberty County,TX,Texas,8.19,35.0,30.0,6,7,4,18115.0,42.4,1.0,Medium
Licking County,OH,Ohio,8.96,39.0,16.0,7,1,1,41726.0,54.7,1.0,Medium
Limestone County,AL,Alabama,7.45,39.0,40.0,7,5,1,24879.0,38.9,1.0,Medium
Limestone County,TX,Texas,8.19,35.0,30.0,3,2,5,5080.0,37.4,2.0,High
Lincoln County,AR,Arkansas,8.8,38.0,20.0,2,2,10,4912.0,35.3,0.0,Low
Lincoln County,CO,Colorado,8.31,37.0,26.0,9,6,7,2180.0,36.0,2.0,High
Lincoln County,GA,Georgia,7.91,37.0,35.0,4,8,2,1604.0,45.9,1.0,Medium
Lincoln County,ID,Idaho,7.88,36.0,36.0,3,9,1,1106.0,41.5,1.0,Medium
Lincoln County,KY,Kentucky,8.58,39.0,22.0,2,6,6,6393.0,40.9,2.0,High
Lincoln County,ME,Maine,10.5,45.0,4.0,6,5,1,5230.0,78.8,2.0,High
Lincoln County,MN,Minnesota,9.99,38.0,6.0,6,5,4,1214.0,53.2,2.0,High
Lincoln County,MO,Missouri,7.75,39.0,39.0,7,2,5,15127.0,39.0,4.0,Unknown
Lincoln County,MS,Mississippi,8.99,38.0,15.0,10,10,7,8308.0,38.800000000000004,1.0,Medium
Lincoln County,NC,North Carolina,8.07,39.0,34.0,6,9,4,24262.0,49.7,1.0,Medium
Lincoln County,NV,Nevada,8.23,38.0,29.0,6,9,10,549.0,38.5,0.0,Low
Lincoln County,OK,Oklahoma,7.13,37.0,44.0,6,8,4,7857.0,40.2,1.0,Medium
Lincoln County,TN,Tennessee,5.74,39.0,49.0,6,9,7,9976.0,41.4,0.0,Low
Lincoln County,WA,Washington,8.34,38.0,24.0,4,2,9,2209.0,57.9,1.0,Medium
Lincoln County,WI,Wisconsin,8.89,40.0,17.0,4,10,7,7021.0,55.400000000000006,2.0,High
Linn County,KS,Kansas,9.36,37.0,11.0,6,2,3,2815.0,35.3,0.0,Low
Linn County,OR,Oregon,8.29,39.0,27.0,2,2,9,26547.0,55.400000000000006,2.0,High
Litchfield County,CT,Connecticut,10.44,41.0,5.0,9,10,6,31980.0,75.5,2.0,High
Little River County,AR,Arkansas,8.8,38.0,20.0,7,4,5,3273.0,39.6,1.0,Medium
Live Oak County,TX,Texas,8.19,35.0,30.0,6,8,2,2141.0,42.699999999999996,0.0,Low
Livingston County,IL,Illinois,9.52,38.0,9.0,5,9,5,10732.0,50.7,2.0,High
Livingston County,MI,Michigan,8.34,40.0,24.0,10,5,1,46243.0,60.099999999999994,2.0,High
Livingston County,NY,New York,12.79,39.0,1.0,2,6,4,11753.0,59.5,2.0,High
Livingston Parish,LA,Louisiana,8.82,37.0,19.0,2,7,4,37105.0,39.800000000000004,1.0,Medium
Llano County,TX,Texas,8.19,35.0,30.0,10,3,2,3901.0,51.6,0.0,Low
Logan County,AR,Arkansas,8.8,38.0,20.0,9,8,8,5116.0,46.9,0.0,Low
Logan County,CO,Colorado,8.31,37.0,26.0,9,2,5,7427.0,38.1,1.0,Medium
Logan County,OH,Ohio,8.96,39.0,16.0,3,9,5,10242.0,42.8,2.0,High
Logan County,OK,Oklahoma,7.13,37.0,44.0,4,4,9,10836.0,35.0,1.0,Medium
Long County,GA,Georgia,7.91,37.0,35.0,3,8,5,2783.0,21.3,2.0,High
Lonoke County,AR,Arkansas,8.8,38.0,20.0,10,6,10,19876.0,47.599999999999994,1.0,Medium
Lorain County,OH,Ohio,8.96,39.0,16.0,10,7,2,66650.0,63.6,2.0,High
Los Alamos County,NM,New Mexico,8.19,38.0,30.0,1,2,6,2751.0,71.89999999999999,2.0,High
Los Angeles County,CA,California,9.48,37.0,10.0,5,4,9,2851184.0,73.0,1.0,Medium
Loudon County,TN,Tennessee,5.74,39.0,49.0,10,7,4,14485.0,63.800000000000004,1.0,Medium
Loudoun County,VA,Virginia,7.86,38.0,37.0,10,2,8,68599.0,76.7,2.0,High
Louisa County,VA,Virginia,7.86,38.0,37.0,4,5,4,6645.0,59.199999999999996,2.0,High
Love County,OK,Oklahoma,7.13,37.0,44.0,10,5,1,3094.0,42.1,1.0,Medium
Lowndes County,GA,Georgia,7.91,37.0,35.0,3,5,6,31011.0,39.900000000000006,1.0,Medium
Lowndes County,MS,Mississippi,8.99,38.0,15.0,4,2,3,17493.0,51.0,2.0,High
Lucas County,IA,Iowa,9.26,38.0,13.0,9,3,4,1754.0,45.300000000000004,1.0,Medium
Lucas County,OH,Ohio,8.96,39.0,16.0,5,10,8,100856.0,57.9,2.0,High
Lumpkin County,GA,Georgia,7.91,37.0,35.0,5,8,10,7220.0,34.300000000000004,1.0,Medium
Lyon County,MN,Minnesota,9.99,38.0,6.0,3,4,7,7045.0,56.49999999999999,1.0,Medium
Lyon County,NV,Nevada,8.23,38.0,29.0,1,5,10,10056.0,41.8,2.0,High
Macomb County,MI,Michigan,8.34,40.0,24.0,6,8,4,230888.0,56.8,2.0,High
Macon County,GA,Georgia,7.91,37.0,35.0,5,8,1,2141.0,43.2,1.0,Medium
Macon County,NC,North Carolina,8.07,39.0,34.0,9,5,3,7853.0,58.8,3.0,Critical
Macon County,TN,Tennessee,5.74,39.0,49.0,5,8,5,8442.0,32.7,1.0,Medium
Macoupin County,IL,Illinois,9.52,38.0,9.0,1,4,7,12784.0,54.800000000000004,1.0,Medium
Madera County,CA,California,9.48,37.0,10.0,4,5,7,43445.0,54.300000000000004,1.0,Medium
Madison County,AL,Alabama,7.45,39.0,40.0,1,7,4,89328.0,61.7,2.0,High
Madison County,AR,Arkansas,8.8,38.0,20.0,8,10,1,3960.0,43.1,1.0,Medium
Madison County,FL,Florida,6.97,42.0,45.0,4,3,2,5821.0,46.0,1.0,Medium
Madison County,IA,Iowa,9.26,38.0,13.0,7,3,2,3154.0,54.0,2.0,High
Madison County,IL,Illinois,9.52,38.0,9.0,5,7,4,70413.0,62.1,1.0,Medium
Madison County,IN,Indiana,8.15,38.0,33.0,2,8,6,32676.0,52.400000000000006,1.0,Medium
Madison County,KY,Kentucky,8.58,39.0,22.0,8,2,4,27683.0,47.9,1.0,Medium
Madison County,MO,Missouri,7.75,39.0,39.0,3,3,9,3601.0,39.6,4.0,Unknown
Madison County,MS,Mississippi,8.99,38.0,15.0,1,4,3,24018.0,63.5,1.0,Medium
Madison County,NC,North Carolina,8.07,39.0,34.0,5,9,5,5088.0,56.49999999999999,1.0,Medium
Madison County,NY,New York,12.79,39.0,1.0,5,9,1,13557.0,61.0,3.0,Critical
Madison County,OH,Ohio,8.96,39.0,16.0,7,7,4,9670.0,51.0,2.0,High
Madison County,TN,Tennessee,5.74,39.0,49.0,6,4,6,29988.0,54.50000000000001,2.0,High
Madison County,TX,Texas,8.19,35.0,30.0,2,2,4,3717.0,41.699999999999996,1.0,Medium
Madison County,VA,Virginia,7.86,38.0,37.0,9,10,4,2359.0,57.9,2.0,High
Mahnomen County,MN,Minnesota,9.99,38.0,6.0,10,1,6,1765.0,59.9,2.0,High
Mahoning County,OH,Ohio,8.96,39.0,16.0,6,6,3,53406.0,56.99999999999999,1.0,Medium
Major County,OK,Oklahoma,7.13,37.0,44.0,4,1,5,2464.0,50.0,0.0,Low
Malheur County,OR,Oregon,8.29,39.0,27.0,8,9,9,8213.0,48.1,2.0,High
Manassas,VA,Virginia,7.86,38.0,37.0,2,8,5,,,,
Manassas Park,VA,Virginia,7.86,38.0,37.0,8,8,1,,,,
Manatee County,FL,Florida,6.97,42.0,45.0,8,5,10,95554.0,61.5,2.0,High
Manistee County,MI,Michigan,8.34,40.0,24.0,8,2,6,4468.0,59.8,2.0,High
Manitowoc County,WI,Wisconsin,8.89,40.0,17.0,10,4,3,20437.0,60.6,1.0,Medium
Marathon County,WI,Wisconsin,8.89,40.0,17.0,2,7,5,39255.0,60.199999999999996,1.0,Medium
Maricopa County,AZ,Arizona,8.19,38.0,30.0,7,7,9,1273007.0,57.199999999999996,1.0,Medium
Maries County,MO,Missouri,7.75,39.0,39.0,6,5,10,1599.0,43.8,4.0,Unknown
Marin County,CA,California,9.48,37.0,10.0,2,4,6,36141.0,87.1,2.0,High
Marinette County,WI,Wisconsin,8.89,40.0,17.0,9,1,8,11607.0,52.800000000000004,1.0,Medium
Marion County,AR,Arkansas,8.8,38.0,20.0,10,4,3,3388.0,36.0,1.0,Medium
Marion County,FL,Florida,6.97,42.0,45.0,4,9,6,83280.0,56.699999999999996,1.0,Medium
Marion County,IA,Iowa,9.26,38.0,13.0,8,10,9,7566.0,53.0,2.0,High
Marion County,IN,Indiana,8.15,38.0,33.0,6,6,7,224617.0,55.800000000000004,1.0,Medium
Marion County,MO,Missouri,7.75,39.0,39.0,1,10,4,7961.0,41.9,4.0,Unknown
Marion County,MS,Mississippi,8.99,38.0,15.0,5,5,5,6957.0,46.1,1.0,Medium
Marion County,OH,Ohio,8.96,39.0,16.0,7,4,2,19854.0,48.1,1.0,Medium
Marion County,OR,Oregon,8.29,39.0,27.0,1,8,3,69082.0,62.9,2.0,High
Marion County,SC,South Carolina,7.45,39.0,40.0,10,1,9,8539.0,48.8,0.0,Low
Marion County,TX,Texas,8.19,35.0,30.0,1,6,7,1687.0,42.0,2.0,High
Mariposa County,CA,California,9.48,37.0,10.0,10,3,7,3040.0,44.4,2.0,High
Marlboro County,SC,South Carolina,7.45,39.0,40.0,7,9,1,7853.0,43.7,1.0,Medium
Marquette County,WI,Wisconsin,8.89,40.0,17.0,4,1,6,3807.0,53.400000000000006,1.0,Medium
Marshall County,AL,Alabama,7.45,39.0,40.0,6,10,9,27321.0,45.6,1.0,Medium
Marshall County,IL,Illinois,9.52,38.0,9.0,3,3,9,2767.0,57.199999999999996,1.0,Medium
Marshall County,MN,Minnesota,9.99,38.0,6.0,7,4,5,2089.0,49.8,1.0,Medium
Marshall County,MS,Mississippi,8.99,38.0,15.0,8,3,8,9902.0,54.300000000000004,1.0,Medium
Marshall County,OK,Oklahoma,7.13,37.0,44.0,10,7,10,4602.0,44.7,1.0,Medium
Marshall County,TN,Tennessee,5.74,39.0,49.0,10,3,4,10361.0,42.6,0.0,Low
Martin County,FL,Florida,6.97,42.0,45.0,1,4,3,30347.0,63.5,1.0,Medium
Martin County,MN,Minnesota,9.99,38.0,6.0,3,6,10,5594.0,55.400000000000006,1.0,Medium
Mason County,KY,Kentucky,8.58,39.0,22.0,6,7,5,4815.0,50.9,2.0,High
Mason County,MI,Michigan,8.34,40.0,24.0,3,7,6,6749.0,60.6,1.0,Medium
Mason County,TX,Texas,8.19,35.0,30.0,7,9,1,785.0,47.8,1.0,Medium
Mason County,WA,Washington,8.34,38.0,24.0,1,9,5,12333.0,61.0,1.0,Medium
Matagorda County,TX,Texas,8.19,35.0,30.0,10,1,8,8340.0,46.800000000000004,1.0,Medium
Matanuska-Susitna Borough,AK,Alaska,5.1,34.0,50.0,8,2,3,34406.0,40.6,2.0,High
Mathews County,VA,Virginia,7.86,38.0,37.0,2,1,3,1443.0,64.4,2.0,High
Maui County,HI,Hawaii,12.19,39.0,2.0,9,6,1,30190.0,69.39999999999999,2.0,High
Maury County,TN,Tennessee,5.74,39.0,49.0,2,10,6,28995.0,64.3,1.0,Medium
Maverick County,TX,Texas,8.19,35.0,30.0,9,9,8,20812.0,94.3,1.0,Medium
Mayes County,OK,Oklahoma,7.13,37.0,44.0,8,6,5,10302.0,43.5,1.0,Medium
McClain County,OK,Oklahoma,7.13,37.0,44.0,7,1,9,11638.0,48.0,1.0,Medium
McCormick County,SC,South Carolina,7.45,39.0,40.0,9,5,2,2226.0,58.4,1.0,Medium
McCulloch County,TX,Texas,8.19,35.0,30.0,10,1,10,1301.0,38.5,2.0,High
McCurtain County,OK,Oklahoma,7.13,37.0,44.0,5,8,6,8078.0,35.9,1.0,Medium
McDowell County,NC,North Carolina,8.07,39.0,34.0,3,10,2,13623.0,51.9,1.0,Medium
McDuffie County,GA,Georgia,7.91,37.0,35.0,5,9,7,5050.0,44.9,1.0,Medium
McHenry County,IL,Illinois,9.52,38.0,9.0,5,1,10,76244.0,67.0,2.0,High
McIntosh County,GA,Georgia,7.91,37.0,35.0,3,7,9,2458.0,41.3,1.0,Medium
McIntosh County,OK,Oklahoma,7.13,37.0,44.0,10,6,2,4868.0,54.1,0.0,Low
McLean County,IL,Illinois,9.52,38.0,9.0,6,4,9,50170.0,63.6,3.0,Critical
McLennan County,TX,Texas,8.19,35.0,30.0,10,5,10,58328.0,52.1,2.0,High
McLeod County,MN,Minnesota,9.99,38.0,6.0,7,2,5,10583.0,57.9,1.0,Medium
McMinn County,TN,Tennessee,5.74,39.0,49.0,8,5,8,16680.0,40.1,1.0,Medium
McMullen County,TX,Texas,8.19,35.0,30.0,4,6,7,168.0,46.0,0.0,Low
McNairy County,TN,Tennessee,5.74,39.0,49.0,10,6,4,7647.0,47.4,2.0,High
Mecklenburg County,NC,North Carolina,8.07,39.0,34.0,4,1,8,278417.0,63.5,1.0,Medium
Mecosta County,MI,Michigan,8.34,40.0,24.0,10,7,9,8648.0,41.9,1.0,Medium
Medina County,OH,Ohio,8.96,39.0,16.0,10,2,8,40062.0,63.9,1.0,Medium
Medina County,TX,Texas,8.19,35.0,30.0,8,10,3,10217.0,55.60000000000001,1.0,Medium
Meeker County,MN,Minnesota,9.99,38.0,6.0,4,2,2,5931.0,48.1,1.0,Medium
Meigs County,OH,Ohio,8.96,39.0,16.0,5,8,5,4622.0,46.800000000000004,1.0,Medium
Meigs County,TN,Tennessee,5.74,39.0,49.0,4,2,3,3388.0,68.30000000000001,2.0,High
Menard County,TX,Texas,8.19,35.0,30.0,4,1,5,512.0,54.0,0.0,Low
Menifee County,KY,Kentucky,8.58,39.0,22.0,1,10,4,1643.0,44.4,3.0,Critical
Menominee County,WI,Wisconsin,8.89,40.0,17.0,6,9,1,1901.0,80.10000000000001,1.0,Medium
Merced County,CA,California,9.48,37.0,10.0,3,9,9,72257.0,51.5,1.0,Medium
Mercer County,KY,Kentucky,8.58,39.0,22.0,1,6,1,7347.0,54.50000000000001,1.0,Medium
Mercer County,NJ,New Jersey,9.98,40.0,7.0,4,9,8,76882.0,71.0,2.0,High
